Zip,IMR
76021,5.0761423
76022,8.75
76023,
76028,5.676127
76031,7.4786325
76033,9.4271212
76034,3.8095238
76035,
76036,5.6089745
76039,5.9044552
76040,9.542943
76041,
76043,
76044,
76048,10.619469
76049,4.2328043
76050,
76051,5.0136738
76052,7.9051385
76053,6.5970311
76054,10.373444
76055,
76056,
76057,
76058,6.6445184
76059,
76060,
76061,
76062,
76063,3.9138944
76064,
76065,5.2980132
76066,
76067,5.9523811
76070,
76071,
76073,
76077,
76078,4.1580043
76081,
76082,4.4345899
76084,9.5011873
76085,10
76086,5.1194539
76087,6.445672
76088,5.7581573
76092,6.6666665
76093,
76095,
76096,
76097,
76099,
76101,
76102,11.363636
76103,8.6042061
76104,19.340975
76105,12.626263
76106,8.4774504
76107,1.8270402
76108,6.0266895
76109,0
76110,6.9595475
76111,7.8883495
76112,8.1908836
76113,
76114,5.7655349
76115,9.0042372
76116,10.400252
76117,5.4267392
76118,11.273957
76119,12.658228
76120,3.9936101
76122,
76123,7.8226857
76126,5.5917988
76127,
76129,
76130,
76131,6.2029243
76132,7.8895464
76133,5.7432432
76134,5.2447553
76135,7.0984917
76136,
76137,4.7408342
76140,7.1743927
76147,
76148,7.7639751
76155,
76161,
76163,
76164,12.264922
76165,
76177,3.9215686
76179,5.1298494
76180,10.326087
76182,2.441009
76185,
76199,
76201,3.5335689
76202,
76203,
76204,
76205,10.309278
76206,
76207,8.333333
76208,1.4760147
76209,6.5359478
76210,5.2246604
76220,
76224,
76225,
76226,5.9737158
76227,2.9815147
76228,
76230,4.3196545
76232,
76233,
76234,5.0890584
76238,
76239,
76240,6.9052105
76241,
76244,5.7893567
76245,
76246,
76247,5.1216388
76248,4.6511626
76249,2.2371364
76250,
76251,
76252,
76253,
76255,
76258,
76259,
76261,
76262,2.5015635
76263,
76264,
76265,
76266,7.2674417
76267,
76268,
76270,
76271,
76272,
76273,
76301,6.329114
76302,5.6561084
76303,
76305,
76306,8.746356
76307,
76308,4.3811612
76309,12.658228
76310,10.869565
76311,
76351,
76354,7.5329566
76357,
76360,
76363,
76364,
76365,
76366,
76367,13.729977
76369,
76370,
76371,
76372,
76373,
76374,
76377,
76379,
76380,
76384,4.8154092
76385,
76388,
76389,
76401,8.6642599
76402,
76424,
76426,9.9502487
76427,
76429,
76430,
76431,
76432,
76433,
76435,
76436,
76437,
76439,
76442,
76443,
76444,
76445,
76446,5.6390977
76448,
76449,
76450,1.5384616
76452,
76453,
76454,
76455,
76457,
76458,
76459,
76460,
76461,
76462,
76463,
76464,
76465,
76466,
76467,
76468,
76469,
76470,
76471,
76472,
76474,
76475,
76476,
76481,
76483,
76484,
76485,
76486,
76487,
76490,
76491,
76501,8.3256245
76502,6.0493255
76503,
76504,10.342599
76505,
76508,
76511,
76513,6.9779925
76518,
76519,
76520,7.009346
76522,6.9930072
76523,
76524,
76525,
76526,
76527,
76528,2.4783146
76530,
76531,
76533,
76534,
76536,
76537,
76538,
76539,
76540,
76541,12.311136
76542,6.6909976
76543,8.5501862
76544,6.395349
76545,
76546,
76547,
76548,6.7151651
76549,7.0671377
76550,1.8484288
76551,
76553,
76554,
76556,
76557,
76558,
76559,
76561,
76564,
76565,
76566,
76567,8.5106382
76569,
76570,
76571,
76573,
76574,5.2356019
76577,
76578,
76579,
76599,
76621,
76622,
76623,
76624,
76626,
76627,
76628,
76629,
76630,
76631,
76632,
76633,
76634,
76635,
76636,
76637,
76638,
76639,
76640,
76641,
76642,
76643,7.2046108
76644,
76645,4.4642859
76648,
76649,
76650,
76651,
76652,
76653,
76654,
76655,
76656,
76657,6.0483871
76660,
76661,4.5351472
76664,
76665,
76666,
76667,0
76670,
76671,
76673,
76676,
76678,
76679,
76680,
76681,
76682,
76684,
76685,
76686,
76687,
76689,
76690,
76691,
76692,
76693,
76701,
76702,
76703,
76704,14.134275
76705,8.4254875
76706,5.6876941
76707,11.971831
76708,4.4028621
76709,
76710,5.9642148
76711,1.540832
76712,5.7518487
76715,
76718,
76728,
76742,
76754,
76757,
76798,
76799,
76801,11.55624
76802,
76804,
76820,
76821,
76823,
76824,
76825,
76827,
76828,
76831,
76832,
76834,
76836,
76837,
76842,
76844,
76845,
76848,
76849,
76852,
76853,
76854,
76856,
76857,
76858,
76859,
76861,
76862,
76864,
76865,
76866,
76869,
76870,
76871,
76872,
76874,
76875,
76877,
76878,
76880,
76882,
76884,
76885,
76886,
76887,
76888,
76890,
76901,2.4585125
76902,
76903,4.4052863
76904,3.1094527
76905,9.1984234
76906,
76908,
76923,
76930,
76932,
76933,
76934,
76935,
76936,
76937,
76939,
76940,
76941,
76943,
76945,
76950,
76951,
76953,
76955,
76957,
76958,
77001,
77002,
77003,10.174418
77004,7.8999343
77005,4.4091711
77006,3.7037036
77007,2.7372262
77008,5.199307
77009,7.4104571
77010,
77011,8.6887836
77012,4.8043928
77013,5.7020669
77014,8.2041931
77015,6.7305202
77016,12.471655
77017,6.6874723
77018,6.8637805
77019,5.9382424
77020,2.5113008
77021,8.4439087
77022,3.6534448
77023,4.519774
77024,4.1194644
77025,4.7505937
77026,13.6897
77027,1.4925373
77028,13.4357
77029,8.02139
77030,2.7322404
77031,7.6045628
77032,11.754068
77033,7.688365
77034,6.8198133
77035,8.8715401
77036,5.6098733
77037,4.391468
77038,4.3689322
77039,7.9400086
77040,4.4936051
77041,5.0100203
77042,3.2840722
77043,3.5511363
77044,5.169867
77045,5.7388811
77046,
77047,6.0874376
77048,6.6476731
77049,5.2707233
77050,
77051,7.0351758
77052,
77053,5.5499496
77054,2.3966446
77055,2.6359143
77056,5.0813007
77057,3.1948881
77058,3.0487804
